time,sensor,id,detect,read,measure,share,visit,data
2020-08-11 20:09:47,BLE,0D1D8F6E-C3D1-4E7E-B224-3CA496B78276,1,,,,,
2020-08-11 20:09:47,BLE,0D1D8F6E-C3D1-4E7E-B224-3CA496B78276,,2,,,,Ku1nMg
2020-08-11 20:09:48,BLE,48B707A4-5445-6DC5-47FA-09331F70D7D2,,2,,,,AayC8A
2020-08-11 20:09:48,BLE,4571D427-DF64-AA65-4FA3-971CD33A558D,1,,,,,
2020-08-11 20:09:48,BLE,4571D427-DF64-AA65-4FA3-971CD33A558D,,,3,,,RSSI:-79.0
2020-08-11 20:09:57,BLE,4571D427-DF64-AA65-4FA3-971CD33A558D,,,3,,,RSSI:-73.0
2020-08-11 20:09:57,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-81.0
2020-08-11 20:09:57,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-78.0
2020-08-11 20:09:57,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-85.0
2020-08-11 20:09:57,BLE,4571D427-DF64-AA65-4FA3-971CD33A558D,,2,,,,AayC8A
2020-08-11 20:09:58,BLE,6BD11DF6-D19C-14C4-0296-16EF8348576D,1,,,,,
2020-08-11 20:09:58,BLE,6BD11DF6-D19C-14C4-0296-16EF8348576D,,,3,,,RSSI:-78.0
2020-08-11 20:10:06,BLE,6BD11DF6-D19C-14C4-0296-16EF8348576D,,,3,,,RSSI:-73.0
2020-08-11 20:10:06,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-82.0
2020-08-11 20:10:07,BLE,6BD11DF6-D19C-14C4-0296-16EF8348576D,,2,,,,AayC8A
2020-08-11 20:10:07,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,,4,,
2020-08-11 20:10:07,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-93.0
2020-08-11 20:10:08,BLE,C599452F-83CB-57DA-FDBA-FBF0E7B39261,1,,,,,
2020-08-11 20:10:08,BLE,C599452F-83CB-57DA-FDBA-FBF0E7B39261,,,3,,,RSSI:-72.0
2020-08-11 20:10:08,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-78.0
