time,sensor,id,detect,read,measure,share,visit,detectHerald,delete,data
2022-11-29 22:23:40.279+0000,BLE,48:E3:0D:5F:D1:C4,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.285+0000,BLE,44:6D:70:BD:20:F4,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.315+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-49.0
2022-11-29 22:23:40.328+0000,BLE,DA:47:6C:0B:3D:09,1,,,,,,,
2022-11-29 22:23:40.335+0000,BLE,DA:47:6C:0B:3D:09,,,3,,,,,RSSI:-95.0
2022-11-29 22:23:40.365+0000,BLE,44:10:CB:50:51:F2,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.392+0000,BLE,6F:A6:53:5A:CF:37,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.420+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-57.0
2022-11-29 22:23:40.538+0000,BLE,48:E3:0D:5F:D1:C4,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.574+0000,BLE,44:6D:70:BD:20:F4,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.619+0000,BLE,44:10:CB:50:51:F2,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.653+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-50.0
2022-11-29 22:23:40.689+0000,BLE,6F:A6:53:5A:CF:37,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.694+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-57.0
2022-11-29 22:23:40.699+0000,BLE,6D:12:89:2F:E8:FF,1,,,,,,,
2022-11-29 22:23:40.700+0000,BLE,6D:12:89:2F:E8:FF,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.728+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-50.0
2022-11-29 22:23:40.738+0000,BLE,DD:A2:DB:41:63:D4,,,3,,,,,RSSI:-50.0
2022-11-29 22:23:40.771+0000,BLE,5F:2F:8E:E8:10:4A,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.773+0000,BLE,74:26:75:8F:1B:6D,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.828+0000,BLE,48:E3:0D:5F:D1:C4,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.855+0000,BLE,44:6D:70:BD:20:F4,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:40.900+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-50.0
2022-11-29 22:23:40.950+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-57.0
2022-11-29 22:23:40.956+0000,BLE,6F:A6:53:5A:CF:37,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.020+0000,BLE,69:2C:DD:A6:20:30,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.056+0000,BLE,5F:2F:8E:E8:10:4A,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.061+0000,BLE,74:26:75:8F:1B:6D,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.102+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-50.0
2022-11-29 22:23:41.126+0000,BLE,6B:4F:A1:DC:ED:5A,1,,,,,,,
2022-11-29 22:23:41.136+0000,BLE,6B:4F:A1:DC:ED:5A,,,3,,,,,RSSI:-99.0
2022-11-29 22:23:41.146+0000,BLE,44:6D:70:BD:20:F4,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.186+0000,BLE,44:10:CB:50:51:F2,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.235+0000,BLE,6F:A6:53:5A:CF:37,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.253+0000,BLE,6D:12:89:2F:E8:FF,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.297+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-50.0
2022-11-29 22:23:41.301+0000,BLE,DD:A2:DB:41:63:D4,,,3,,,,,RSSI:-49.0
2022-11-29 22:23:41.305+0000,BLE,69:2C:DD:A6:20:30,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.337+0000,BLE,5F:2F:8E:E8:10:4A,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.353+0000,BLE,74:26:75:8F:1B:6D,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.397+0000,BLE,48:E3:0D:5F:D1:C4,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.419+0000,BLE,44:6D:70:BD:20:F4,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.476+0000,BLE,44:10:CB:50:51:F2,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.520+0000,BLE,6F:A6:53:5A:CF:37,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.527+0000,BLE,6D:12:89:2F:E8:FF,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.575+0000,BLE,69:2C:DD:A6:20:30,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.622+0000,BLE,5F:2F:8E:E8:10:4A,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.625+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-49.0
2022-11-29 22:23:41.665+0000,BLE,74:26:75:8F:1B:6D,,,3,,,,,RSSI:-68.0
2022-11-29 22:23:41.688+0000,BLE,48:E3:0D:5F:D1:C4,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:41.716+0000,BLE,44:6D:70:BD:20:F4,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:41.769+0000,BLE,44:10:CB:50:51:F2,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:41.785+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-56.0
2022-11-29 22:23:41.806+0000,BLE,6F:A6:53:5A:CF:37,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:41.814+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-47.0
2022-11-29 22:23:41.838+0000,BLE,6D:12:89:2F:E8:FF,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:41.840+0000,BLE,20:AD:C9:CA:0C:42,1,,,,,,,
2022-11-29 22:23:41.842+0000,BLE,20:AD:C9:CA:0C:42,,,3,,,,,RSSI:-95.0
2022-11-29 22:23:41.851+0000,BLE,10:18:90:C2:A5:E7,1,,,,,,,
2022-11-29 22:23:41.852+0000,BLE,10:18:90:C2:A5:E7,,,3,,,,,RSSI:-94.0
2022-11-29 22:23:41.857+0000,BLE,4F:EF:2D:73:11:36,1,,,,,,,
2022-11-29 22:23:41.859+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-94.0
2022-11-29 22:23:41.870+0000,BLE,69:2C:DD:A6:20:30,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:41.919+0000,BLE,74:26:75:8F:1B:6D,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:41.933+0000,BLE,DD:A2:DB:41:63:D4,,,3,,,,,RSSI:-46.0
2022-11-29 22:23:41.968+0000,BLE,48:E3:0D:5F:D1:C4,,,3,,,,,RSSI:-73.0
2022-11-29 22:23:41.985+0000,BLE,44:6D:70:BD:20:F4,,,3,,,,,RSSI:-73.0
2022-11-29 22:23:42.012+0000,BLE,10:18:90:C2:A5:E7,,,3,,,,,RSSI:-94.0
2022-11-29 22:23:42.015+0000,BLE,20:AD:C9:CA:0C:42,,,3,,,,,RSSI:-95.0
2022-11-29 22:23:42.041+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-94.0
2022-11-29 22:23:42.066+0000,BLE,44:10:CB:50:51:F2,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:42.099+0000,BLE,6D:12:89:2F:E8:FF,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:42.117+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-46.0
2022-11-29 22:23:42.137+0000,BLE,69:2C:DD:A6:20:30,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:42.269+0000,BLE,5F:2F:8E:E8:10:4A,,,3,,,,,RSSI:-72.0
2022-11-29 22:23:42.282+0000,BLE,20:AD:C9:CA:0C:42,,,3,,,,,RSSI:-94.0
2022-11-29 22:23:42.296+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-95.0
2022-11-29 22:23:42.299+0000,BLE,74:26:75:8F:1B:6D,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:42.301+0000,BLE,48:E3:0D:5F:D1:C4,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:42.310+0000,BLE,44:6D:70:BD:20:F4,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:42.331+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-46.0
2022-11-29 22:23:42.338+0000,BLE,DA:47:6C:0B:3D:09,,,3,,,,,RSSI:-96.0
2022-11-29 22:23:42.361+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-56.0
2022-11-29 22:23:42.364+0000,BLE,44:10:CB:50:51:F2,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:42.388+0000,BLE,6F:A6:53:5A:CF:37,,,3,,,,,RSSI:-72.0
2022-11-29 22:23:42.390+0000,BLE,10:18:90:C2:A5:E7,,,3,,,,,RSSI:-94.0
2022-11-29 22:23:42.400+0000,BLE,20:AD:C9:CA:0C:42,,,3,,,,,RSSI:-94.0
2022-11-29 22:23:42.407+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-94.0
2022-11-29 22:23:42.416+0000,BLE,DC:AF:8E:3A:5A:D6,1,,,,,,,
2022-11-29 22:23:42.419+0000,BLE,DC:AF:8E:3A:5A:D6,,,3,,,,,RSSI:-94.0
2022-11-29 22:23:42.436+0000,BLE,69:2C:DD:A6:20:30,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:42.482+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-46.0
2022-11-29 22:23:42.485+0000,BLE,5F:2F:8E:E8:10:4A,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:42.516+0000,BLE,74:26:75:8F:1B:6D,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:42.536+0000,BLE,48:E3:0D:5F:D1:C4,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:42.563+0000,BLE,44:6D:70:BD:20:F4,,,3,,,,,RSSI:-71.0
2022-11-29 22:23:42.568+0000,BLE,10:18:90:C2:A5:E7,,,3,,,,,RSSI:-94.0
2022-11-29 22:23:44.809+0000,BLE,6F:A6:53:5A:CF:37,,,,,,6,,
2022-11-29 22:23:44.810+0000,BLE,6F:A6:53:5A:CF:37,,2,,,,,,ql8F4g
2022-11-29 22:23:47.134+0000,BLE,7F:E0:2F:23:A9:CF,1,,,,,,,
2022-11-29 22:23:47.192+0000,BLE,74:26:75:8F:1B:6D,,,,,,6,,
2022-11-29 22:23:47.193+0000,BLE,74:26:75:8F:1B:6D,,2,,,,,,ql8F4g
2022-11-29 22:23:49.532+0000,BLE,48:E3:0D:5F:D1:C4,,,,,,6,,
2022-11-29 22:23:49.532+0000,BLE,48:E3:0D:5F:D1:C4,,2,,,,,,ql8F4g
2022-11-29 22:24:23.852+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-42.0[BLETransmitPower:12.0]
2022-11-29 22:24:23.869+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-56.0[BLETransmitPower:8.0]
2022-11-29 22:24:24.035+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-42.0[BLETransmitPower:12.0]
2022-11-29 22:24:24.142+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-53.0[BLETransmitPower:8.0]
2022-11-29 22:24:24.155+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-99.0
2022-11-29 22:24:24.277+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-42.0[BLETransmitPower:12.0]
2022-11-29 22:24:24.281+0000,BLE,DD:A2:DB:41:63:D4,,,3,,,,,RSSI:-42.0
2022-11-29 22:24:24.341+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-98.0
2022-11-29 22:24:24.357+0000,BLE,20:AD:C9:CA:0C:42,,,3,,,,,RSSI:-100.0
2022-11-29 22:24:24.415+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-51.0[BLETransmitPower:8.0]
2022-11-29 22:24:24.422+0000,BLE,53:84:8A:0D:E8:B4,1,,,,,,,
