time,source,level
2022-11-29 23:15:06.470+0000,external,67.0
2022-11-29 23:15:36.476+0000,external,67.0
2022-11-29 23:16:06.483+0000,external,67.0
2022-11-29 23:16:36.490+0000,external,68.0
2022-11-29 23:17:06.497+0000,external,68.0
2022-11-29 23:17:36.504+0000,external,68.0
2022-11-29 23:18:06.512+0000,external,69.0
2022-11-29 23:18:36.519+0000,external,69.0
2022-11-29 23:19:06.526+0000,external,69.0
2022-11-29 23:19:36.532+0000,external,70.0
2022-11-29 23:20:06.538+0000,external,70.0
2022-11-29 23:20:36.545+0000,external,70.0
2022-11-29 23:21:06.552+0000,external,71.0
2022-11-29 23:21:36.559+0000,external,71.0
2022-11-29 23:22:06.565+0000,external,71.0
2022-11-29 23:22:36.571+0000,external,72.0
2022-11-29 23:23:06.578+0000,external,72.0
2022-11-29 23:23:36.584+0000,external,72.0
2022-11-29 23:24:06.591+0000,external,73.0
2022-11-29 23:24:36.595+0000,external,73.0
2022-11-29 23:25:06.600+0000,external,73.0
2022-11-29 23:25:36.607+0000,external,74.0
2022-11-29 23:26:06.613+0000,external,74.0
2022-11-29 23:26:36.619+0000,external,74.0
2022-11-29 23:27:06.626+0000,external,75.0
2022-11-29 23:27:36.633+0000,external,75.0
2022-11-29 23:28:06.639+0000,external,75.0
2022-11-29 23:28:36.645+0000,external,75.0
2022-11-29 23:29:06.652+0000,external,76.0
2022-11-29 23:29:36.658+0000,external,76.0
2022-11-29 23:30:06.664+0000,external,76.0
2022-11-29 23:30:36.671+0000,external,77.0
2022-11-29 23:31:06.677+0000,external,77.0
2022-11-29 23:31:36.699+0000,external,77.0
2022-11-29 23:32:06.705+0000,external,78.0
2022-11-29 23:32:36.710+0000,external,78.0
2022-11-29 23:33:06.714+0000,external,78.0
2022-11-29 23:33:36.720+0000,external,79.0
2022-11-29 23:34:06.724+0000,external,79.0
2022-11-29 23:34:36.730+0000,external,79.0
2022-11-29 23:35:06.736+0000,external,80.0
2022-11-29 23:35:36.743+0000,external,80.0
2022-11-29 23:36:06.751+0000,external,80.0
2022-11-29 23:36:36.758+0000,external,80.0
2022-11-29 23:37:06.765+0000,external,81.0
2022-11-29 23:37:36.772+0000,external,81.0
2022-11-29 23:38:06.780+0000,external,81.0
2022-11-29 23:38:36.789+0000,external,82.0
2022-11-29 23:39:06.798+0000,external,82.0
2022-11-29 23:39:36.811+0000,external,82.0
2022-11-29 23:40:06.818+0000,external,83.0
2022-11-29 23:40:36.825+0000,external,83.0
2022-11-29 23:41:06.833+0000,external,83.0
2022-11-29 23:41:36.840+0000,external,83.0
2022-11-29 23:42:06.848+0000,external,84.0
2022-11-29 23:42:36.855+0000,external,84.0
2022-11-29 23:43:06.862+0000,external,84.0
2022-11-29 23:43:36.869+0000,external,84.0
2022-11-29 23:44:06.876+0000,external,85.0
2022-11-29 23:44:36.882+0000,external,85.0
2022-11-29 23:45:06.890+0000,external,85.0
2022-11-29 23:45:36.899+0000,external,85.0
2022-11-29 23:46:06.905+0000,external,86.0
2022-11-29 23:46:36.912+0000,external,86.0
2022-11-29 23:47:06.919+0000,external,86.0
2022-11-29 23:47:36.926+0000,external,87.0
2022-11-29 23:48:06.934+0000,external,87.0
2022-11-29 23:48:36.941+0000,external,87.0
2022-11-29 23:49:06.964+0000,external,88.0
2022-11-29 23:49:36.971+0000,external,88.0
2022-11-29 23:50:06.978+0000,external,88.0
2022-11-29 23:50:36.985+0000,external,88.0
2022-11-29 23:51:06.993+0000,external,89.0
2022-11-29 23:51:37.001+0000,external,89.0
2022-11-29 23:52:07.009+0000,external,89.0
2022-11-29 23:52:37.016+0000,external,90.0
2022-11-29 23:53:07.026+0000,external,90.0
2022-11-29 23:53:37.033+0000,external,90.0
2022-11-29 23:54:07.039+0000,external,90.0
2022-11-29 23:54:37.101+0000,external,91.0
2022-11-29 23:55:07.109+0000,external,91.0
2022-11-29 23:55:37.116+0000,external,91.0
2022-11-29 23:56:07.122+0000,external,91.0
2022-11-29 23:56:37.129+0000,external,91.0
2022-11-29 23:57:07.136+0000,external,92.0
2022-11-29 23:57:37.142+0000,external,92.0
2022-11-29 23:58:07.149+0000,external,92.0
2022-11-29 23:58:37.158+0000,external,92.0
2022-11-29 23:59:07.165+0000,external,92.0
2022-11-29 23:59:37.172+0000,external,93.0
